t;lo;la;a
1998-04-11T08:05:00;-12.2051000;-19.77050000;  51.41250
1998-04-11T08:05:00; -2.9136100;-17.83540000; 285.36600
1998-04-12T07:54:59; 57.4720000;-22.56540000; 219.40300
1998-04-12T07:54:59; 48.0357000;-23.62870000;  75.14880
1998-04-12T07:54:59; 25.0327000;-21.86190000; 365.97700
1998-04-12T07:54:59;  0.4917510;-19.98570000;  56.29550
1998-04-12T07:54:59;  9.9303200;-18.00270000; 238.73500
1998-04-13T07:34:59; 70.6425000;-22.53970000;  91.45580
1998-04-13T07:34:59; 37.3102000;-22.48870000; 218.06700
1998-04-13T07:34:59; 13.0935000;-20.25430000; 150.38400
1998-04-13T07:34:59; 14.7076000;-19.42130000;  33.38450
1998-04-13T07:34:59; 23.0114000;-18.21090000; 224.37300
1998-04-14T08:24:59; 50.9666000;-22.80980000; 167.90900
1998-04-14T08:24:59; 26.6072000;-20.52680000;  45.49350
1998-04-14T08:24:59; 36.8629000;-18.10010000; 228.58300
1998-04-16T07:34:59; 62.6279000;-18.04020000; 329.04300
1998-04-16T07:34:59; 25.3751000; 30.13010000; 258.57900
1998-04-16T07:34:59; 30.5801000; 30.00890000;  53.37990
1998-04-17T07:34:59; 75.3705000;-17.76880000; 139.68900
1998-04-17T07:34:59; 37.1117000; 29.85400000;  56.29140
1998-04-17T07:34:59; 35.9284000; 30.72430000;  12.62790
1998-04-18T08:03:00;  4.5943100; 19.68380000;  96.73920
1998-04-18T08:03:00; -0.8221350; 20.17860000;  11.61010
1998-04-19T07:54:59; 19.2257000; 19.87660000;  77.77500
1998-04-19T07:54:59; 11.4163000; 20.18750000;  27.63240
1998-04-20T07:54:59; 29.9190000; 19.03200000;  97.68280
1998-04-20T07:54:59; 24.2826000; 20.48450000; 301.30300
1998-04-20T07:54:59; 32.5864000; 19.84040000;  46.01800
1998-04-20T07:54:59; 28.2625000; 20.14130000;  30.81680
1998-04-21T07:34:59; 42.9341000; 19.35900000; 159.71400
1998-04-21T07:34:59; 36.4173000; 20.49620000; 188.14200
1998-04-22T07:59:59; 57.7859000; 18.95910000; 165.84600
1998-04-22T07:59:59; 48.9899000; 20.84500000;  64.68590
1998-04-27T07:54:59;-56.2472000;-16.32790000; 610.73300
1998-04-28T08:05:00;-43.5423000;-16.04620000; 361.12200
1998-04-30T07:39:59;-17.4010000;-16.70330000; 305.90000
1998-05-01T09:29:59; -3.7266200;-16.79250000; 475.95000
1998-05-01T09:29:59;  2.9085000;-16.31960000; 174.62600
1998-05-01T09:29:59;-41.2099000; 26.28690000; 357.10100
1998-05-01T09:29:59;-45.8566000; 27.43010000; 134.03500
1998-05-02T07:50:00;  8.1227500;-16.82380000; 673.26700
1998-05-02T07:50:00;-27.5227000; 26.30560000; 687.00100
1998-05-02T07:50:00;-33.9529000; 27.45440000; 322.15900
1998-05-03T07:50:00; 21.5449000;-16.80510000; 283.43800
1998-05-03T07:50:00;-11.1031000; 25.97890000;  33.17650
1998-05-04T08:10:00; 35.4649000;-16.77680000; 971.15900
1998-05-04T08:10:00;-58.7290000;-15.19290000; 103.42100
1998-05-04T08:10:00; -1.0274300; 24.98630000;  85.99040
